user	send_text
小熊猫	今晚可以安心睡觉了…
花生刂巾	小熊猫哥回本了吗
小熊猫	回了一点
花生刂巾	6 下周继续涨
花生刂巾	跟小熊猫推特留言的黄推聊天
小熊猫	👍
花生刂巾	要下载app了
01101101	偷师学艺去勾引男人是吧
peak	到这一步就可以换个人了
花生刂巾	不聊了 睡觉了
！	hhh
peak	hhh
peak	国行黄牛加钱版
laughing	[表情]
01101101	尊贵的iPhone14片肉Max（首发
花生豆	要加钱了
01101101	什么加钱
01101101	骗你裸聊的
花生刂巾	01是有经验的
花生刂巾	先要你下载app，获取你的联系人，然后裸聊把你的视频录下来。
花生刂巾	最后威胁你把视频发给你的联系人。
Kamisama。	不是…这对面坐着的铁定是个男的啊……
Kamisama。	想想都恶心…
Kamisama。	抠脚大汉一人操控十几个号伪装成少妇少女老师警察各种骚聊[破涕为笑]
兴盛得	笑死
兴盛得	后面应该纠正他“直接说iPhone就好了的思想”，跟他唠我这iPhone可不是普通的iPhone 14 pro max
花生壳	没说颜色已经很谦虚了
兴盛得	这个关键时刻必须要骄傲自满起来
新花生龙	哈哈哈哈哈哈笑死我了
新花生龙	@花生豆 技术组，这个环节能每天保留吗！太好笑了，太好用了！@花生棒 帅帅给技术组加鸡腿！
新花生龙	哈哈哈哈哈哈
zsxh	哈哈哈哈哈
兴盛得	哈哈哈哈哈
花生骚	iPhone 14 Pro Max 暗夜紫 1TB  国行非海南免税版+两年ac+
周辉	@花生豆 聊天记录用啥导出的 
花生豆	[链接] GitHub - BlueMatthew/WechatExporter: Wechat Chat History Exporter 微信聊天记录导出备份程序
花生豆	这个，要手机备份
花生豆	很麻烦…
周辉	[表情]
Eric Wang	咸鱼macbook似乎安全下车
花生豆	iTunes备份里的数据库也能自己分析，几个sqlite3的文件…
peak	14寸？
laughing	14寸？
laughing	M几
Eric Wang	就是内存16换32
Eric Wang	其它都一样
Eric Wang	还有电池78% vs 99%
Eric Wang	14寸 M1 Pro
花生骚	mdm机器吗
花生豆	色诱群友
翁帅	肚皮大了点
花生棒	谷大包
L.G.Y	硬了
laughing	[无语]
翁帅	[表情]
peak	这都能硬
laughing	[表情]
zsxh	boki
花生豆	早晨不都一柱擎天么
一次	[表情]
Eric Wang	这群有毒啊
Eric Wang	[表情]
Eric Wang	正常机器 mdm的据说便宜很多
laughing	mdm是什么。
花生刀	mom direct made
laughing	？
大板	马冬梅
花生骚	mdm就是企业定制机，企业监管锁好像
花生骚	之前碰到说最便宜的2021 m1pro+16+512的mdm机器 99新能做到7k5
laughing	那不至于买这个
laughing	多多才9000多
peak	好像没看到v2上有人说mdm被锁过
花生骚	华强北有办法绕过mdm
花生骚	手机绕过mdm是5块钱一次，好像自己整也可以
花生骚	笔记本就不知道了
peak	升级需要重新绕过吗
翁帅	第一次听说mdm这种玩法
翁帅	和ntr有什么区别吗
laughing	。
大板	下次Claude统计群内发言的时候群里黄色第一人就得是老翁
peak	老翁是牛头人？
翁帅	老翁是狗头
David Invest and Life	有道理啊
花生行	你不理财，财不理你
花生行	[表情]
01101101	这是张帅吗
peak	是的
花生行	你满意啦？
花生行	[表情]
花生碎	满足了
01101101	狗头萝莉好像在宁波？ 
一次	和风创意广场
一次	去买个7块的煎饼
花生骚	这个是吧
花生骚	我感觉是一脸整容脸
一个好人	can can
ember	openclash莫名其妙的问题真多
花生棒	你又开始折腾clash了
01101101	啥问题
ember	[打不着]
路，还很远	啥问题啊
ember	proxy里有个指向内网nas的socks5代理，根本不生效
ember	同样的配置surge一点问题没有
路，还很远	指向内网的s5代理？？？
花生棒	我也这么用 没问题啊
ember	对呀
路，还很远	我怎么没懂啊
花生棒	那试试http呢
路，还很远	这个是什么操作
花生棒	局域网代理
路，还很远	干嘛用的
ember	就是封印深信服vpn的那个docker
路，还很远	哦哦
花生棒	Mac上的tg只能用socks5代理
路，还很远	可能不是没生效
ember	不是。。。你这是clash自己的socks5，我是说proxy里加一个socks5代理，跟vmess、trojan那些一起的
路，还很远	应该是被别的规则匹配了
ember	按说是不会，策略非常细了，只有公司内网域名
路，还很远	或者拦截了
路，还很远	看看日志
周辉	oc啥内核。
周辉	meta么
ember	而且surgio generate一锅出的俩配置，surge就没问题
ember	对
花生棒	你说的这种代理节点吧
路，还很远	没用过meta内核
ember	对
路，还很远	这个有什么好处吗
花生棒	用ss呗
路，还很远	我一直都是默认的内核
周辉	哆啦A梦任意门
ember	人家做封印容器的就做了socks
ember	也没啥好处，meta支持hysteria啥的，但是surgio还不支持
路，还很远	好吧
ember	看了日志的，确实是指向代理那边了，但没有下文[睡]
花生棒	踏实用深信服的vpn得了
ember	不管了，我研究黑苹果做主路由算了
路，还很远	那玩意 用不了一点
花生棒	在家能用几次用公司网
花生棒	我之前也折腾过深信服点docker
ember	经常用啊，主要有些流程审批，会有人催
花生骚	我焯 有同事说今天晚上要去这里试试
ember	这4位实在不像京都的
花生骚	看着像东莞下岗
花生棒	晚上狠狠教育一下
路，还很远	本来我也想整个深信服docker的
路，还很远	但是尼玛我遇到的 都tm是vpn套堡垒机
路，还很远	调用本地组件
路，还很远	只支持windows
ember	还有要短信验证的、连完vpn断互联网的，都没办法
路，还很远	最后 我选择找了一台破笔记本 搞这玩意
路，还很远	用的时候远程过去
01101101	发一下日志和配置文件
ember	还好我们这啥都是基础的，都是新高官上任花钱，干半年没业绩被干掉
ember	你找老板娘去
ember	最近又来套傻逼终端管理，没装的连不上公司Wi-Fi，打印机都没法用
ember	我只能让同事帮我打印报销
翁帅	用 tg lite，这个支持http proxy
01101101	专心陪家人
翁帅	群友也是家人
01101101	感动
翁帅	上厕所小便的时候
翁帅	可以回复下消息
花生猫	舔舔
！	肥美
01101101	卧槽
01101101	你们两个
01101101	扶好了
01101101	不要因为短尿在裤子上
花生猫	？
rather	瞅了瞅 人均 2k 富哥富哥[Respect]
花生骚	还说去批判一下 为什么卖艺不卖身
大板	测试
01101101	test
大板	https://search.yibook.org/#search
大板	果然，在别的群发链接没事，在这发就提示
01101101	curl https://search.yibook.org/#search?keyword=少妇白洁
花生猫	少打点儿飞机吧
！	少打点儿飞机吧
Maxxxxyu	这群有问题
花生骚	张帅有问题
Kamisama。	这是别人看到的？
Kamisama。	哦哦哦
祝狗蛋	wechat用户无所畏惧
Kamisama。	点进去就有了
Kamisama。	nice，我还没事😐
大板	我自己点也是[破涕为笑]
花生棒	大阪自觉退群吧
大板	试试
大板	退了再拉会不会还有标记
！	哈哈哈
花生猫	别拉他了
花生猫	让他自生自灭吧
花生猫	[表情]
大板	1
大板	"——————————
汁源查找：https://sourl.cn/WjJLPT"
01101101	2
花生猫	？？？
花生猫	你俩都勾搭上了？
大板	这个链接我点了没事
大板	吃醋了？
大板	2023年7月各大银行信用卡优惠活动大全（持续更新）信用卡薅羊毛全攻略 - 卡奴拯救者的文章 - 知乎 https://zhuanlan.zhihu.com/p/416980654
大板	没事了
大板	[表情]
新花生龙	这么奇怪？是被盯上了？
大板	可能系统判定被举报太密集了[吃瓜]
01101101	系统都知道你是gay了
大板	[表情]
新花生龙	微信属实让你们玩明白了。99%风控都是给你们准备的
新花生龙	[表情]
01101101	你就是0吧 想来骗群友
大板	你就是0吧 想来骗群友
peak	这么狡诈吗
ember	最近有便宜的4T nvme嘛
道航	养生我梦
ggbond	养生我梦
Maxxxxyu	养生我梦
阿德	养生我梦
Alain	 养生我梦
花生豆	[链接] 【1818黄金眼】老卢出马：花了三十多万“养生”  糊里糊涂“私了”？
花生豆	一年嫖了30多万...
花生猫	请教各位大佬个问题，在上游接口有限流的前提下，本地client发起时怎么优化呢？
祝狗蛋	不知道小熊猫怎么样了
花生汤	等几把插进去就有感觉了
一次	"在上游接口有限流的情况下，优化本地client发起请求可以考虑以下几个方面：

1. 重试机制：在发起请求时，实现一个合理的重试机制，当上游接口返回限流错误时，可以等待一段时间后再次尝试发送请求，以增加请求成功的概率。

2. 本地缓存：对于一些频繁请求的数据，可以在本地进行缓存，减少对上游接口的依赖和请求频率，从而降低限流的可能性。

3. 异步请求：采用异步方式发起请求，可以让本地client在接收到上游接口限流错误时不会阻塞，继续处理其他任务，然后在合适的时机再次尝试发送请求。

4. 资源管理：确保本地client使用的资源（如连接池、线程池等）合理管理，避免资源浪费和过度请求导致限流情况的恶化。

5. 合理的请求频率：根据上游接口的限流策略和配额，合理控制本地client的请求频率，避免超出接口限制。

6. 请求优化：优化请求参数和数据格式，尽量减少请求的大小和复杂度，从而降低上游接口的处理压力，减少限流的可能性。

7. 接口监控：实时监控上游接口的响应情况和限流情况，及时发现问题并采取相应措施。

综合考虑上述优化措施，可以有效地提高本地client在上游接口有限流的情况下的请求成功率和性能。"
Dylan	餐厅可以玩蛇
花生豆	卑微…
花生豆	要换pro max…
花生豆	小手机太惨了
新花生龙	我也在手机上跑了一下，但是还是很慢
新花生龙	我是用的promax
ember	为啥要在手机跑
ember	do you gays not have pc?
ember	你们gay没有pc肌吗
花生豆	想随便试一下的
花生豆	说到pc肌，被指到的人提肛30下
花生豆	[表情]
花生猫	5. 合理的请求频率：根据上游接口的限流策略和配额，合理控制本地client的请求频率，避免超出接口限制。
花生猫	就是这一点
花生猫	具体怎么实现呢
花生豆	摁钮置灰
花生豆	1分钟只准点一次[旺柴]
ember	建行生活[旺柴]
花生豆	光大吧
ember	[表情]
花生豆	啥优化不优化，爱用用，不用滚
花生棒	你呻吟啥呢
花生米	不是我
花生米	我朋友，去雅克音乐节
花生米	路上拍的土拨鼠
花生米	好肥啊
花生生	烧烤多放点孜然
花生米	妈的，我这段时间太忙去不了
花生米	好气啊
zsxh	好大只啊
花生骚	伙食好好啊
01101101	和张帅打招呼？
01101101	带狗子玩
花生碎	一起把妹
Alain	你还真信他带狗子玩啊。就是来把妹的
花生猫	豆豆好凶啊
花生猫	粉衣服的不错
花生猫	努力把握住
翁帅	你喜欢阿姨？
花生猫	我喜欢的多了
花生猫	我喜欢帅帅
花生猫	能让帅帅属于我吗
花生行	你在想🍑
花生行	[表情]
花生行	群生我梦
翁帅	为什么不是你属于帅帅
！	这是在哪里吃的啊，看上去真不错
Delete.	我本来想说南京怎么是这样吃烤鸭的[尴尬]
！	这烤鸭啊
宋超	不知道什么情况
翁帅	2200买了速通
宋超	rs2不能科学上网
翁帅	寸金寸光阴
宋超	好多机场都不能用
宋超	什么情况
大板	那么世界第一款原子弹是在＿＿生产，运输到＿＿引爆呢
花生猫	震区伤害了呀
Ronnie	@翁帅 漂流，机速光轮，地平线，海盗这些都是90至150分钟的，没快速通道的话你一天都玩不了几个
宋超	能不能帮我看看
宋超	哪里出问题了？
宋超	Telegram正常使用
宋超	浏览器都不能用
花生猫	50收
花生豆	控制面板看一下
花生豆	走了什么规则
帅啊	规则没写对吧
Alain	passwall那边测一下google通不通
宋超	怎么测？
Alain	打开你就看到了
宋超	谁有空帮我远程控制看看
ember	192.168.1.2:9090/ui/dashboard
宋超	？
小熊猫	其他的youtube呢？可能是dns解析出问题了。
花生花	试试重启大法
宋超	试了好多次
花生花	我之前是passwall同样症状，后来发现是我浏览的问题
宋超	两款浏览器都不能用
宋超	现在我用clash pro客户端就可以用
宋超	应该不是浏览器问题
！	看看系统代理设置呢
一次	会玩
rather	爹味真的重，一边说回归生活，关注自己，然后说别人闲的
ember	这种什么新闻之类的地方和互联网媒体的存在意义是啥
花生行	增加就业
花生行	[表情]
花生刀	话语权
ember	抖音上只要是这种媒体，整天都在播一些小伙家的猫突然站起来走路之类的狗屁消息
花生刀	掌握地方流量，一旦有了需要传达的指令，可以大小媒体一起发声，确保把消息传递到每一个角落
花生刀	你们有没有发现，新媒体刚刚兴起的时候，掌握话语权的都是个人自媒体，传统媒体的影响力很小。这些年这些地方媒体都起来了，xx晚报，xx电台在新媒体上流量都很大了
ember	自媒体没有采编权
ember	这些地方媒体随便P张图，瞎鸡巴配几句剧本，就可以是个新闻
花生刀	是啊
花生行	新时代故事汇
花生刀	5秒钟的视频，p些大字上去
01101101	？
花生行	[表情]
01101101	粉色的是我妈
01101101	你小子想当我爸是吧
花生行	邪魅
01101101	这个狗和我很熟
01101101	一个朋友
花生猫	可以
花生猫	命中注定
花生行	懂了
花生行	哪种朋友
花生猫	我是你爹
花生猫	[表情]
peak	一眼相中，也算缘分
花生骚	[小程序]
花生骚	ipc+蓝牙转换器+airpods pro
花生骚	[动画表情]
01101101	群主的照片不要乱发
01101101	你小子一点都不懂事
花生刂巾	[表情]
01101101	自拍也少发
peak	[视频号] B站每日精选的动态
花生棒	花里胡哨的
花生汤	[表情]
祝狗蛋	下大雨了
祝狗蛋	老翁还好么
祝狗蛋	迪士尼看海了
花生酒	迪士尼没雨吧，我这边比较近，没下雨
花生酒	好像浦西挺大
ember	谁的浦西挺大
花生骚	你说的浦西最好是地名
！	你说的浦西最好是地名
花生行	谁教教我
Alain	你说的浦西最好是地名
Alain	pussy
花生酒	你们不对劲🤨
花生米	小猫咪
祝狗蛋	[表情]
蛋蛋	芭比排片真少
花生刂巾	刚出来骑车就下暴雨
花生刂巾	全身都湿了
ggbond	已关注 一样的来一张吧
花生酒	刚说完，浦东开始暴雨了
Maxxxxyu	已关注 一样的来一张吧
祝狗蛋	拿不下了
花生苗	老翁玩得开心吗
花生行	老翁淋得开心吗
ggbond	老翁湿身了吗
小桑子	老翁湿身了吗
！	好大的🌧️
