user	send_text
ggbond	burui.me
花生仁	我随便买了点
Nietzsche	短域名都好贵   我名字四个字母  买不起
花生仁	哪四个字母？
花生仁	你也是两个字？
花生豆	莫兰蒂经过⚠️
花生仁	害
花生仁	我觉得吧 物资还好。基本不会缺。
Nietzsche	两个字
花生豆	看弹幕，厦门桶装水都不好买到了…
花生仁	李？
Nietzsche	不是常见姓
花生仁	好的卜
01101101	我有个2slk.com的域名
Nietzsche	续费多少钱
花生猫	这域名怎么说
花生猫	哈哈哈
花生猫	才15块钱
Nietzsche	还行  我也买一个自己名字的
花生碎	.me .xyz 比较geek 
花生猫	太贵了。。
花生叶	work，要一直工作吗
花生猫	没必要
01101101	我有个homeol.ml 被回收了
01101101	[烦]
花生猫	ml
小熊猫	校招要求好高
花生猫	巨硬吗
Maxxxxyu	研究员
Maxxxxyu	要求高可以理解
花生猫	舒服了
小熊猫	我也想当研究员
小熊猫	但是只能下辈子了
东北痴汉	不应该是 me@ ？
东北痴汉	你这英语咋学的
花生刂巾	"适用于 Android 的 ChatGPT 正式推出，你现在可以在 Google play 商店中进行下载。

适用于Android 的 ChatGPT 已经正式推出，你现在可以在 Google play 商店中进行下载安装并使用。在 play 商店“预注册”的用户应该收到了应用程序上线时的通知。

OpenAI 在推文中表示， Android 版 ChatGPT 将在美国、印度、孟加拉国和巴西提供下载，OpenAI 计划在下周将推广范围扩大到更多国家。

下载链接： https://play.google.com/store/apps/details?id=com.openai.chatgpt

—— OpenAI推特"
花生猫	简单呀
兴盛得	对他们来说，这就是一串数字而已
Zz	这是个假账号
兴盛得	那就是字面意思，只是串数字而已
兴盛得	[旺柴]
花生仁	md大早上跑来把车挪到了负一层
花生仁	这是真的要来啊
laughing	怕台风啊
阿利群	@花生仁 仁仁坐标哪里
Maxxxxyu	有备无患
花生仁	[地理位置]
花生仁	海边
花生仁	问题来了 我这辈子还有机会去这个银行上班吗
阿利群	保安还是保洁 你选一个 我安排
花生汤	今天登陆吗？
花生仁	预计28号凌晨吧
花生汤	你就是自己想玩
花生汤	这玩意不好带吧
花生仁	https://live.baidu.com/m/media/pclive/pchome/live.html?type=live&action=liveshow&room_id=8472174498
花生仁	确实。。
花生仁	除非再买个Tesla 皮卡
01101101	[雨天]
悠悠我心	这个车有钱人的大玩具
花生棒	今天就喝这俩了
Hugh.R 🤥	[表情]
01101101	半糖？
01101101	张*先生 你咋喝加糖的
laughing	柚c美式好喝吗
花生汤	还可以
花生仁	还可以
Felix	还可以
花生汤	这是啥啊，突然收到个验证码
花生刂巾	beta4发了
花生冰	已更
L.G.Y	有人知道你密码
Eric Wang	Public Beta 还没动静
01101101	是哪个群友
花生棒	瑞幸这个新品拿铁不好喝
Maxxxxyu	一般
Felix	未来的01
01101101	我认为这不是什么事儿吧？
花生汤	好奇怪[捂脸]
花生棒	burui邮箱想好了吗
陈浩强	不都注册完了
陈浩强	burui.work
尸山血海	开启了硬件认证，我啥也不怕
尸山血海	yubikey  YYDS
peak	硬件认证？
尸山血海	yubikey 认证放弃短信验证了
尸山血海	一年前我就全面放弃短信认证了，短信认证是非常不安全的方法
尸山血海	大家对安全不关心而已
尸山血海	苹果ios16 就开锁提示了
花生仁	找到原因了么？比如在曾经登陆过的设备人 有人尝试登录
花生汤	没，先改密码[吃瓜]
陈浩强	苹果有个二步验证，就还好吧
陈浩强	这玩意不会一直存在下去吧
东北痴汉	垃圾微信
peak	优雅，小儿美
Maxxxxyu	为啥我没有
Maxxxxyu	@花生豆 豆豆，Claude你是用的POE吗访问吗
嘿肉	[链接] 首次！美元被人民币超了
我小帅呢	"[链接] 【#卧底记者回应下架视频换缅甸放人#】 @都市大先生 我是河南都市频道参与此次缅北电诈报道的团队成员之一。
2023年上半年，我们利用半年的时间，卧底缅北诈骗组织，在这个过程中，见到了太多血腥的诈骗内幕，以及惨无人道的虐待。
当时我们是通过网上联系了一些在缅甸高薪招聘人的买家。确定之后，他 ​​​"
我小帅呢	记者7月24日从教育部获悉，全国校外教育培训监管与服务综合平台于当日正式上线。平台帮助家长甄别选择证照齐全的合规机构，确保交费安全、退费方便、投诉举报渠道畅通。
01101101	Apple 臭傻逼？
花生豆	直接网页
laughing	谁翻一下，今天surge更新了啥
laughing	作者没更新
laughing	昨天已经失效
laughing	猫猫写个微博回到旧版本吧的油猴脚本吧
兴盛得	到时候大家都这样
花生骚	找群里的0帮你
花生苗	啥，群友不都是30岁就已经阳痿了吗？
Roy。	这两天忙的都没时间灌水。
花生棒	那你灌啥了
laughing	那你灌啥了
Felix	那你灌啥了
花生壳	那你灌啥了
Maxxxxyu	那你灌啥了
Roy。	客户那边打太极。
花生酒	灌肠？
路，还很远	35个小时？
花生仁	开源节流，降本增效，剔除毒瘤。
大板	我也没看懂一天怎么超过24的
花生仁	我跟你说哈，每天 8h工作时间。加班3倍的话就有可能。
花生仁	比如我有个同学在TPLink，年终通报全年加班 400天。
花生仁	全司加班最多的人什么的
路，还很远	这么算的啊
laughing	显示器为啥前面那么大热气
laughing	不是我错觉吧
Vict.胡	为啥会又加班
路，还很远	你家面板通电不散热吗
Vict.胡	工作不是只有8小时么
Vict.胡	其他时间不应该是义务的？
大板	不是，我是没看懂那个结算人妻啊
大板	日期
Vict.胡	不给老板解忧呀
我小帅呢	？
laughing	"「路，还很远：你家面板通电不散热吗」
- - - - - - - - - - - - - - -
以前用的没感觉有这么热"
laughing	难道是夏天感觉
